Year,Diatom_N,PicoPhytopl_N,Gelat_Zoo_N,Carniv_Zoo_N,Zoo_N,MicroZoo_N,Cephalopod_N2,Prawn_N1,Prawn_N2,Pelag_Bact_N,Sed_Bact_N,Deposit_Feeder_N,Planktiv_O_Fish_N,Demersal_P_Fish_N,Demersal_M_Fish_N,Shark_C_N,Pisciv_V_Fish_N,Whale_Small_N,NH3,NO3,Chl_a,Carrion_N,NA,NA,Macrobenth_Shallow_N,Macrobenth_Deep_N,Megazoobenthos_N,Benthic_Carniv_N,NA,NA,Macroalgae_N,Seagrass_N,Filter_Shallow_N,Filter_Deep_N,Filter_Other_N,Benthic_grazer_N,Pisciv_D_Fish_N,Pisciv_S_Fish_N,Mesopel_M_Fish_N,Mesopel_N_Fish_N,Demersal_F_Fish_N,Demersal_D_Fish_N,Planktiv_S_Fish_N,Planktiv_L_Fish_N,Pisciv_T_Fish_N,Pisciv_B_Fish_N,Benthopel_Fish_N,Demersal_E_Fish_N,Shark_B_N,Shark_D_N,Shark_P_N,Pisciv_O_Fish_N,Seabird_N,Penguin_N,Demersal_S_Fish_N,Demersal_B_Fish_N,Demersal_DC_Fish_N,Demersal_O_Fish_N,Shark_R_N,SkateRay_N,Pinniped_N,Whale_Baleen_N,Whale_Tooth_N,Reptile_N,Dugong_N,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57760,39254,9224,87379.5,35879,234823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80849.3,79939.4,NA,425444,419513,NA,NA,100188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135135.1,NA,270249,24876.49,84976,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56411,38150,8548,86158.3,35748,236270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78771.5,78213.7,NA,420119,414356,NA,NA,100067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122973,NA,269620,24677.86,83878,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55118,38985,14073,83140.3,35652,237373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77198,77319.08,NA,415464,409931,NA,NA,76281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110810.8,NA,269212,24493.4,83511,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54081,42137,18150,80399.8,35596,237410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75998,76867.85,NA,414155,406847,NA,NA,53528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000,325319,268680,24267.8,83068,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53693,43788,24620,78223.9,35086,237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74239.1,76393.72,NA,414492,406148,NA,NA,32980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88365.49,325304,268437,24075.77,82682,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53061,43389,29611,73169.2,34339,235548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73294.3,75706.91,7832000,416929,405899,NA,NA,30536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82946.08,325272,267658,23831.06,82705,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50623,40943,31563,56391.4,33633,232387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71777.8,74794.83,7704000,421100,406215,NA,NA,23604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110199.75,135645.8,325251,262001,23532.37,82595,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49741,39700,30218,45007.2,32115,229946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69220.1,74509.08,7521000,423954,409710,NA,NA,23161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110390.67,143748.9,325243,257386,23193.16,82482,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48394,38389,30224,39922.3,29870,230756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65797.8,73838.25,7454000,427896,414107,NA,NA,28552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108745.24,145051.2,325236,252604,22928.28,81892,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47724,39283,31174,40741.5,30621,234416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61385.9,73715.87,7459000,430344,430779,NA,NA,29636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106970.76,138211.5,325208,252073,22637.16,81723,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47085,40707,32712,40507.8,33863,239082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57872.5,73693.44,7500000,434163,433079,NA,NA,37334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106829.49,131376.7,325167,251269,22179.75,81866,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46464,40789,33780,40518.5,34608,243147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53168.8,73131.02,7659000,436911,433534,NA,NA,34826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109055.34,121842.3,325126,250080,21819.1,82197,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45716,41527,33566,41266.1,37977,259807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50400.5,71243.15,9498000,436545,428257,NA,NA,43564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110521.03,113646.2,325046,247623,21388.67,82385,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44108,42191,29868,40933.5,36701,265099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50393.9,68686.43,9609000,436426,423330,NA,NA,54452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110533.28,100045.64,324957,243025,21009.07,82534,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43108,42448,24803,40436,35964,264142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49808.7,65325.55,9038000,433019,419664,NA,NA,85178,NA,2749300,NA,NA,NA,NA,NA,NA,NA,NA,109960.01,93196.89,324890,240824,20331.33,82662,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42147,41308,22189,40357.8,36092,259304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51799.4,61767.6,9514000,426632,414578,NA,NA,96986,NA,4354100,NA,NA,NA,NA,NA,NA,NA,NA,109263.71,86323.13,324802,237822,19556.45,82736,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41692,38946,19532,39535.8,35209,253355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53303.2,58336.3,8749000,407906,406849,NA,NA,316696,NA,1215400,NA,NA,NA,NA,NA,NA,NA,NA,106210.7,91616.54,324768,236549,18587.02,82283,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40729,38562,20376,38958.1,36770,246373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56112.1,55996.86,8175000,402644,399974,NA,NA,360376,NA,1981000,NA,NA,NA,NA,NA,NA,NA,NA,109395.1,94237.24,324684,235004,17981.41,81870,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38809,36390,20053,37212.7,38241,236002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60147.1,55729.83,7376000,394206,392073,NA,NA,436636,NA,1789100,NA,NA,NA,NA,NA,NA,NA,27,107747.04,98181.29,324511,233482,17294.26,80995,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36623,33678,20315,35411.5,36490,229729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62378.7,52917.15,8722000,375481,381201,NA,NA,338779,NA,1436000,NA,NA,NA,NA,NA,NA,NA,17.1,104261.54,94053.24,324103,230336,16511.86,80129,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33818,31367,19111,33605.7,31887,210808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65197.4,48590.61,7968000,372214,375049,NA,NA,408332,NA,1525500,NA,NA,NA,NA,NA,NA,NA,15.75,105054.37,100696,323663,228434,16092.82,79848,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31705,28422,16647,32170.3,28876,181547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68150.6,45047.45,7248000,366180,367929,NA,4680,419530,NA,1792400,NA,NA,NA,NA,NA,NA,NA,23.4,102343.11,106047.4,323472,226163,14604.26,77574,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27677,26103,12745,31132.2,26269,167675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70901.8,40766.51,11692000,351663,354071,NA,14904,449376,NA,990700,NA,NA,NA,NA,NA,NA,NA,3.15,96828.13,108842.1,322873,223753,13241.33,76465,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24249,25398,8240,29676.3,27234,175342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73928.6,36939.51,11020000,339995,347045,NA,35138,450423,NA,937000,NA,NA,NA,NA,NA,NA,NA,1.8,92561.86,106270.4,322323,221053,12395.51,75891,NA,NA,NA,NA,32.51664,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23110,25269,5716,28002.3,23721,173484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76208,32718.12,9558000,329130,338245,NA,58868,483574,NA,1265300,NA,NA,NA,NA,NA,NA,NA,1.35,94742.15,99591.64,321706,217111,11755.78,76082,NA,NA,NA,NA,34.4925,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21587,24872,5221,26509.2,20941,172748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76449.6,29995.84,8215000,315218,325237,NA,83202,488837,NA,3118700,NA,NA,NA,NA,NA,NA,NA,3.78,95212.21,103744.7,320740,211482,11332.32,75865,NA,NA,NA,NA,37.2006,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20504,24948,4982,25379.2,21602,170056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77796.5,28461.77,9503000,305137,335369,NA,150063,463183,NA,1276600,NA,NA,NA,NA,NA,NA,NA,9.45,98493,105342.1,319805,206537,11353.1,75811,NA,NA,NA,NA,41.07861,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18558,23971,4721,24827.6,23163,160241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78060.5,26593.73,8425000,294147,329088,NA,214092,433748,NA,2048000,NA,NA,NA,NA,NA,NA,NA,5.85,99278.72,101472,318363,200871,11414.69,75567,NA,NA,NA,NA,44.31996,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16899,22965,4487,23550.4,23808,148981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78025.6,24402.85,7282000,287633,319203,NA,337541,379276,NA,1940800,NA,NA,NA,NA,NA,NA,NA,6.3,97628.4,111034.5,315191,196214,11264.39,75668,NA,NA,NA,NA,45.97209,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14713,22148,4024,22402.2,22382,137885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78072.2,21168.13,6833000,281340,305591,NA,430119,370111,NA,918500,NA,NA,NA,NA,NA,NA,NA,6.75,96883.18,121921.3,311583,190316,10925.79,75634,NA,NA,NA,NA,48.2706,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12998,21792,3567,21926.5,21653,126761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74780.7,19300.02,6041000,278912,298644,NA,525168,310193,NA,2030300,NA,NA,NA,NA,NA,NA,NA,6.525,103239.74,119161.6,305023,184735,10814.83,75717,NA,NA,NA,NA,51.27219,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10867,20941,3377,21012,20340,120069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72758.1,17496.65,4981000,276129,287850,NA,710205,227934,NA,636100,NA,NA,NA,NA,NA,NA,NA,6.525,96734.47,115011.5,301858,180449,10803.61,75842,NA,NA,NA,NA,57.0456,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9065,20894,3223,20580.4,19649,117532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73781.1,16976.7,4413000,266906,281899,NA,733519,205352,NA,364200,NA,NA,NA,NA,NA,NA,NA,3.6,92981.67,131135.7,295850,176555,10301.75,76136,NA,NA,NA,NA,61.10991,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7853,21785,3017,19977.6,18583,117761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75052.5,17188.58,3772000,256593,280302,NA,1007344,172833,NA,248900,NA,NA,NA,NA,NA,NA,NA,6.48,95144.84,128339,290144,171857,10252.81,76211,NA,NA,NA,NA,64.33911,NA
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7468,24146,2750,19362.8,17872,113199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73567.8,18314,2962000,246663,288798,NA,1371383,188938,NA,216600,NA,NA,NA,NA,NA,NA,NA,8.1,94800.7,117624.2,285392,168002,10399.12,76076,NA,NA,NA,NA,64.80459,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7000,26705,2574,18878.5,17127,108431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72999.7,19719.29,2700000,236207,298574,NA,1486348,213903,NA,265300,NA,NA,NA,NA,NA,NA,NA,9,90974.98,107061.4,279676,165896,10759.35,76292,NA,NA,NA,NA,64.43541,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6132,29448,2467,18931.4,16307,102959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72256.3,20404.19,2500000,225038,316825,NA,1460963,216252,NA,223800,NA,NA,NA,NA,NA,NA,NA,7.2,86208.77,101806,274673,164428,11178.98,75487,NA,NA,NA,NA,63.47709,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5313,33343,2296,19071.3,15209,94966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70858.6,22072.98,2200000,213256,328006,NA,1379803,155312,NA,242000,NA,NA,NA,NA,NA,NA,NA,8.1,80817.45,98010.95,270632,163300,11445.83,73668,NA,NA,NA,NA,64.03509,NA
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4338,39740,2383,18850.1,18866,89754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69381.2,27150.99,2000000,205448,339354,NA,1329681,91709,NA,389700,NA,NA,NA,NA,NA,NA,NA,7.02,76406.44,84651.43,268386,162188,11862.3,73380,NA,NA,NA,NA,65.81691,NA
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3933,43741,2864,18689.5,18442,84787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62976.7,34362.29,1800000,200028,355891,NA,1130737,90045,NA,756000,NA,NA,NA,NA,NA,NA,NA,5.4,77461.61,76700.33,266428,162591,12161.97,72577,NA,NA,NA,NA,66.07809,NA
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4146,48245,3227,18972.3,19149,84098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62558.5,41509.3,1900000,198175,370457,NA,933416,79821,NA,1617000,NA,NA,NA,NA,NA,NA,NA,5.85,76290.6,71350.91,264582,163210,12540.1,71608,NA,NA,NA,NA,65.64609,NA
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400,52681,3674,19958.1,24397,86603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66805.6,48234.06,3800000,199727,386004,NA,982860,73015,NA,958300,NA,NA,NA,NA,NA,NA,NA,9.18,67380.99,67191.86,263046,164618,12602.58,71427,NA,NA,NA,NA,68.949,NA
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4640,54755,4036,21091,28205,89936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71599.9,53633.79,3700000,202310,405188,NA,810115,84218,NA,1265800,NA,NA,NA,NA,NA,NA,NA,NA,63970.06,58957.76,260575,165893,1409.39,72026,NA,NA,NA,NA,76.52709,NA
2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4890,55990,4286,21792.9,31275,93685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76987.2,57592.79,3400000,201944,425186,NA,1179103,80916,NA,841600,NA,NA,NA,NA,NA,NA,NA,NA,78425.75,56056.05,258534,167092,1448.19,71781,NA,NA,NA,NA,83.853,NA
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5112,56134,4526,22440.3,32553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80327.3,61466.84,2800000,NA,445489,NA,1061391,101147,NA,593600,NA,NA,NA,NA,NA,NA,NA,NA,80852.87,65444.51,257530,167966,1485.46,72198,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82522.8,NA,2500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72194,NA,NA,NA,NA,NA,NA
